Name,XS,S,M,L,XL,Dataset
RMI, , , , , ,all_uint64
RMI, , , , , ,real_uint64
PGM,6565734 ns,6688767 ns,7590686 ns,8088296 ns,8204547 ns,all_uint64
PGM,5215380 ns,5214901 ns,6635986 ns,7631205 ns,7863709 ns,real_uint64
ART, ,117317 ns,261963 ns,428062 ns,1331514 ns,all_uint64
ART, ,115774 ns,218868 ns,483900 ns,628133 ns,real_uint64
BTree,26 ns,215 ns,2482 ns,46404 ns,46404 ns,all_uint64
BTree,26 ns,213 ns,2661 ns,63082 ns,63082 ns,real_uint64
IBTree, ,128920 ns,466334 ns,442085 ns,694775 ns,all_uint64
IBTree, ,127105 ns,453782 ns,500938 ns,500938 ns,real_uint64
FAST, ,2184 ns,11428 ns,11428 ns,11428 ns,all_uint64
FAST, ,2207 ns,11276 ns,11276 ns,11276 ns,real_uint64
ALEX, ,7953 ns,57519 ns,721767 ns,10648943 ns,all_uint64
ALEX, ,4954 ns,63683 ns,576182 ns,6853085 ns,real_uint64
FST, ,4427 ns,28678 ns,28678 ns,28678 ns,all_uint64
FST, ,5043 ns,5043 ns,5043 ns,5043 ns,real_uint64
Wormhole,1 ns,1 ns,1 ns,1 ns,1 ns,all_uint64
Wormhole,1 ns,1 ns,1 ns,1 ns,1 ns,real_uint64
RBS,609424 ns,513549 ns,431967 ns,459737 ns,1738857 ns,all_uint64
RBS,601777 ns,504759 ns,440249 ns,444305 ns,1783067 ns,real_uint64
RobinHash, , , , ,37013672 ns,all_uint64
RobinHash, , , , ,40834662 ns,real_uint64
BinarySearch, , , , , ,all_uint64
BinarySearch, , , , , ,real_uint64
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,wiki_ts_200M_uint64
PGM,4232433 ns,3839121 ns,4646921 ns,4646921 ns,4646921 ns,wiki_ts_200M_uint64
ART, , , , , ,wiki_ts_200M_uint64
BTree,24 ns,218 ns,2021 ns,69557 ns,69557 ns,wiki_ts_200M_uint64
IBTree, ,128061 ns,471245 ns,662121 ns,662121 ns,wiki_ts_200M_uint64
FAST, , , , , ,wiki_ts_200M_uint64
ALEX, ,9470 ns,47522 ns,980726 ns,11685098 ns,wiki_ts_200M_uint64
FST, , , , , ,wiki_ts_200M_uint64
Wormhole, , , , , ,wiki_ts_200M_uint64
RBS,627066 ns,629201 ns,259881 ns,356502 ns,1934580 ns,wiki_ts_200M_uint64
RobinHash, , , , ,6850458 ns,wiki_ts_200M_uint64
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,wiki_ts_200M_uint64
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_sparse_200M_uint64
PGM,4139088 ns,5125268 ns,6656283 ns,6656283 ns,6656283 ns,uniform_sparse_200M_uint64
ART, ,124552 ns,484767 ns,475434 ns,475434 ns,uniform_sparse_200M_uint64
BTree,34 ns,200 ns,2223 ns,2223 ns,2223 ns,uniform_sparse_200M_uint64
IBTree, ,129565 ns,561283 ns,527540 ns,527540 ns,uniform_sparse_200M_uint64
FAST, ,2178 ns,11388 ns,11388 ns,11388 ns,uniform_sparse_200M_uint64
ALEX, ,480 ns,4393 ns,589995 ns,45404218 ns,uniform_sparse_200M_uint64
FST, ,2007 ns,2007 ns,2007 ns,2007 ns,uniform_sparse_200M_uint64
Wormhole,1 ns,1 ns,1 ns,1 ns,1 ns,uniform_sparse_200M_uint64
RBS,255777 ns,255691 ns,337560 ns,601905 ns,2704876 ns,uniform_sparse_200M_uint64
RobinHash, , , , ,14792231 ns,uniform_sparse_200M_uint64
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_sparse_200M_uint64
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,lognormal_200M_uint64
PGM,8919871 ns,8919871 ns,8919871 ns,8919871 ns,8919871 ns,lognormal_200M_uint64
